80	0.0135"		42	0.0935"		 13/64"	0.2031"		Y	0.4040"
79	0.0145"		 3/32"	0.0938"		6	0.2040"		 13/32"	0.4062"
1/64"	0.0156"		41	0.0960"		5	0.2055"		Z	0.4130"
78	0.0160"		40	0.0980"		4	0.2090"		 27/64"	0.4219"
77	0.0180"		39	0.0995"		3	0.2130"		 7/16"	0.4375"
76	0.0200"		38	0.1015"		 7/32"	0.2188"		 29/64"	0.4531"
75	0.0210"		37	0.1040"		2	0.2210"		 15/32"	0.4688"
74	0.0225"		36	0.1065"		1	0.2280"		 31/64"	0.4844"
73	0.0240"		 7/64"	0.1094"		A	0.2340"		 1/2"	0.5000"
72	0.0250"		35	0.1100"		 15/64"	0.2344"		 33/64"	0.5156"
71	0.0260"		34	0.1110"		B	0.2380"		 17/32"	0.5312"
70	0.0280"		33	0.1130"		C	0.2420"		 35/64"	0.5469"
69	0.0292"		32	0.1160"		D	0.2460"		 9/16"	0.5625"
68	0.0310"		31	0.1200"		 1/4"	0.2500"		 37/64"	0.5781"
1/32"	0.0312"		 1/8"	0.1250"		E	0.2500"		 19/32"	0.5938"
67	0.0320"		30	0.1285"		F	0.2570"		 39/64"	0.6094"
66	0.0330"		29	0.1360"		G	0.2610"		 5/8"	0.6250"
65	0.0350"		28	0.1405"		 17/64"	0.2656"		 41/64"	0.6406"
64	0.0360"		 9/64"	0.1406"		H	0.2660"		 21/32"	0.6562"
63	0.0370"		27	0.1440"		I	0.2720"		 43/64"	0.6719"
62	0.0380"		26	0.1470"		J	0.2770"		 11/16"	0.6875"
61	0.0390"		25	0.1495"		K	0.2810"		 45/64"	0.7031"
60	0.0400"		24	0.1520"		 9/32"	0.2812"		 23/32"	0.7188"
59	0.0410"		23	0.1540"		L	0.2900"		 47/64"	0.7344"
58	0.0420"		 5/32"	0.1562"		M	0.2950"		 3/4"	0.7500"
57	0.0430"		22	0.1570"		 19/64"	0.2969"		 49/64"	0.7656"
56	0.0465"		21	0.1590"		N	0.3020"		 25/32"	0.7812"
3/64"	0.0469"		20	0.1610"		 5/16"	0.3125"		 51/64"	0.7969"
55	0.0520"		19	0.1660"		O	0.3160"		 13/16"	0.8125"
54	0.0550"		18	0.1695"		P	0.3230"		 53/64"	0.8281"
53	0.0595"		 11/64"	0.1719"		 21/64"	0.3281"		 27/32"	0.8438"
1/16"	0.0625"		17	0.1730"		Q	0.3320"		 55/64"	0.8594"
52	0.0635"		16	0.1770"		R	0.3390"		 7/8"	0.8750"
51	0.0670"		15	0.1800"		 11/32"	0.3438"		 57/64"	0.8906"
50	0.0700"		14	0.1820"		S	0.3480"		 29/32"	0.9062"
49	0.0730"		13	0.1850"		T	0.3580"		 59/64"	0.9219"
48	0.0760"		 3/16"	0.1875"		 23/64"	0.3594"		 15/16"	0.9375"
5/64"	0.0781"		12	0.1890"		U	0.3680"		 61/64"	0.9531"
47	0.0785"		11	0.1910"		 3/8"	0.3750"		 31/32"	0.9688"
46	0.0810"		10	0.1935"		V	0.3770"		 63/64"	0.9844"
45	0.0820"		9	0.1960"		W	0.3860"		1"	1.0000"
44	0.0860"		8	0.1990"		 25/64"	0.3906"			
43	0.0890"		7	0.2010"		X	0.3970"			
