Machine Screw		Threads	Minor	Tap Drills				Clearance Hole Drills			
Size		Per Inch	Dia	Alum, Brass,		Stainless Steel,		All Materials			
				& Plasitcs		Steels & Iron					
				75% Thread		50% Thread		Close Fit		Free Fit	
# or Dia	Major			Drill	Decimal	Drill	Decimal	Drill	Decimal	Drill	Decimal
	Dia			Size	Equiv.	Size	Equiv.	Size	Equiv.	Size	Equiv.
0	0.0600	80	0.0447	3/64	0.0469	55	0.0520	52	0.0635	50	0.0700
1	0.0730	64	0.0538	53	0.0595	1/16	0.0625	48	0.0760	46	0.0810
		72	0.0560	53	0.0595	52	0.0635				
2	0.0860	56	0.0641	50	0.0700	49	0.0730	43	0.0890	41	0.0960
		64	0.0668	50	0.0700	48	0.0760				
3	0.0990	48	0.0734	47	0.0785	44	0.0860	37	0.1040	35	0.1100
		56	0.0771	45	0.0820	43	0.0890				
4	0.1120	40	0.0813	43	0.0890	41	0.0960	32	0.1160	30	0.1285
		48	0.0864	42	0.0935	40	0.0980				
5	0.1250	40	0.0943	38	0.1015	7/64	0.1094	30	0.1285	29	0.1360
		44	0.0971	37	0.1040	35	0.1100				
6	0.1380	32	0.0997	36	0.1065	32	0.1160	27	0.1440	25	0.1495
		40	0.1073	33	0.1130	31	0.1200				
8	0.1640	32	0.1257	29	0.1360	27	0.1440	18	0.1695	16	0.1770
		36	0.1299	29	0.1360	26	0.1470				
10	0.1900	24	0.1389	25	0.1495	20	0.1610	9	0.1960	7	0.2010
		32	0.1517	21	0.1590	18	0.1695				
12	0.2160	24	0.1649	16	0.1770	12	0.1890	2	0.2210	1	0.2280
		28	0.1722	14	0.1820	10	0.1935				
		32	0.1777	13	0.1850	9	0.1960				
1/4	0.2500	20	0.1887	7	0.2010	7/32	0.2188	F	0.2570	H	0.2660
		28	0.2062	3	0.2130	1	0.2280				
		32	0.2117	7/32	0.2188	1	0.2280				
5/16	0.3125	18	0.2443	F	0.2570	J	0.2770	P	0.3230	Q	0.3320
		24	0.2614	I	0.2720	9/32	0.2812				
		32	0.2742	9/32	0.2812	L	0.2900				
3/8	0.3750	16	0.2983	5/16	0.3125	Q	0.3320	W	0.3860	X	0.3970
		24	0.3239	Q	0.3320	S	0.3480				
		32	0.3367	11/32	0.3438	T	0.3580				
7/16	0.4375	14	0.3499	U	0.3680	25/64	0.3906	29/64	0.4531	15/32	0.4687
		20	0.3762	25/64	0.3906	13/32	0.4062				
		28	0.3937	Y	0.4040	Z	0.4130				
1/2	0.5000	13	0.4056	27/64	0.4219	29/64	0.4531	33/64	0.5156	17/32	0.5312
		20	0.4387	29/64	0.4531	15/32	0.4688				
		28	0.4562	15/32	0.4688	15/32	0.4688				
9/16	0.5625	12	0.4603	31/64	0.4844	33/64	0.5156	37/64	0.5781	19/32	0.5938
		18	0.4943	33/64	0.5156	17/32	0.5312				
		24	0.5114	33/64	0.5156	17/32	0.5312				
5/8	0.6250	11	0.5135	17/32	0.5312	9/16	0.5625	41/64	0.6406	21/32	0.6562
		18	0.5568	37/64	0.5781	19/32	0.5938				
		24	0.5739	37/64	0.5781	19/32	0.5938				
11/64	0.6875	24	0.6364	41/64	0.6406	21/32	0.6562	45/64	0.7031	23/32	0.6562
3/4	0.7500	10	0.6273	21/32	0.6562	11/16	0.6875	49/64	0.7656	25/32	0.7812
		16	0.6733	11/16	0.6875	45/64	0.7031				
		20	0.6887	45/64	0.7031	23/32	0.7188				
13/16	0.8125	20	0.7512	49/64	0.7656	25/32	0.7812	53/64	0.8281	27/32	0.8438
7/8	0.8750	9	0.7387	49/64	0.7656	51/64	0.7969	57/64	0.8906	29/32	0.9062
		14	0.7874	13/16	0.8125	53/64	0.8281				
		20	0.8137	53/64	0.8281	27/32	0.8438				
15/16	0.9375	20	0.8762	57/64	0.8906	29/32	0.9062	61/64	0.9531	31/32	0.9688
1	1.0000	8	0.8466	8-Jul	0.8750	59/64	0.9219	1-1/64	1.0156	1/1/32	1.0313
		12	0.8978	15/16	0.9375	61/64	0.9531				
		20	0.9387	61/64	0.9531	31/32	0.9688				
